Game ID,Genres,Developers,Publishers,Release date,Current price in €,Number of reviews,Positive rate in reviews in %,SteamDB score in %,Minimum requirements,Min configuration class
568070,"['Action', 'Adventure', 'Indie']",['Triplevision Games'],['Graffiti Games'],2019-08-23,3.12,58,60.0,57.31,"{'Processor': ' 2ghz dual core cpu', 'Memory': ' 2 GB RAM', 'Graphics': ' GPU with 128 mb of VRAM'}",1
568090,"['Action', 'Indie']",['Waygetter Electronics'],"['Little Flag Software, LLC']",2016-12-28,2.39,2027,91.0,87.13,"{'Processor': ' 2.0 ghz dual core processor', 'Memory': ' 2 GB RAM', 'Graphics': ' Video card with 512MB of VRAM'}",1
568130,"['Action', 'Adventure', 'Indie']",['Nickana Studio'],['Nickana Studio'],2017-01-03,3.99,20,65.0,59.0,"{'Processor': ' 1.4ghz or faster', 'Memory': ' 1024 MB RAM', 'Graphics': ' NVIDIA GT/s 4xx or Equivalent'}",0
568180,"['Action', 'Adventure', 'Indie']",['Sword Twin Studios Ltd.'],['Sword Twin Studios Ltd.'],2017-03-31,0.0,12,92.0,72.42,"{'Processor': ' 2.5 ghz dual core', 'Memory': ' 4 GB RAM', 'Graphics': ' Intel HD Graphics 4400 or equivalent'}",1
568200,"['Casual', 'Indie']",['Bruno Freitas'],['Bruno Freitas'],2016-12-19,1.99,28,93.0,77.3,"{'Processor': ' intel/amd dual core 1,2ghz', 'Memory': ' 2 GB RAM', 'Graphics': ' Graphic card compatible with directx 9'}",1
568220,"['Indie', 'Simulation']",['ProjectMoon'],['ProjectMoon'],2018-04-09,9.19,10799,93.0,90.58,"{'Processor': ' intel(r) core(tm) i5-3570', 'Memory': ' 8 GB RAM', 'Graphics': ' GeForce GTX 550 ti or Radeon hd 6570'}",3
568240,"['Action', 'Indie', 'Sports', 'Early Access']",['BLAZORS'],['BLAZORS'],2017-02-12,1.99,3,67.0,55.69,"{'Processor': ' cpu: intel i5-4590 equivalent or better', 'Memory': ' 4 GB RAM', 'Graphics': ' Nvidia GeForce GTX 970 or better'}",2
568250,"['Action', 'Adventure', 'RPG']","['Chengdu Wooway Technologies Co., Ltd']","['Chengdu Wooway Technologies Co., Ltd']",2017-01-11,6.99,8,62.0,56.05,"{'Processor': ' intel i5-4590 equivalent or greater', 'Memory': ' 8 GB RAM', 'Graphics': ' Geforce GTX 970 /AMD 290 similar or greater'}",3
568300,"['Indie', 'Simulation']",['Godline'],['Visual Wordplay'],2018-05-25,0.0,30,70.0,62.89,"{'Processor': ' pentium 4 1.7 ghz', 'Memory': ' 80 MB RAM', 'Graphics': ' Intel integrated chipset'}",0
568310,"['Action', 'Adventure', 'Simulation', 'Early Access']",['VRotein'],['VRotein'],2017-02-16,19.99,12,92.0,72.42,"{'Processor': ' intel i5-4590 / amd fx 8350 equivalent or greater', 'Memory': ' 4 GB RAM', 'Graphics': ' NVIDIA GeForce GTX 970 / AMD Radeon R9 290 equivalent or greater'}",2
568320,"['Casual', 'Indie', 'Strategy']",['Tomlab Games'],['Tomlab Games'],2017-01-05,4.89,578,97.0,89.7,"{'Processor': ' 2 ghz', 'Memory': ' 256 MB RAM', 'Graphics': ' Shader Model 2.0'}",0
568330,['Indie'],['派嘉数创科技有限公司'],['派嘉数创科技有限公司'],2017-01-20,1.99,14,71.0,61.95,"{'Processor': ' ', 'Memory': ' 4 GB RAM', 'Graphics': ' '}",0
568370,"['Action', 'Indie', 'Strategy']",['Light Arc Studio Ltd'],['Light Arc Studio Ltd'],2016-12-16,9.99,31,94.0,78.21,"{'Processor': ' 1.8 ghz', 'Memory': ' 2 GB RAM', 'Graphics': ' DX9+'}",0
568400,"['Action', 'Adventure', 'Indie', 'Early Access']",['Evgiz'],['Evgiz'],2017-02-01,0.0,55,75.0,67.24,"{'Processor': 'Not specified', 'Memory': ' 4 GB RAM', 'Graphics': 'Not specified'}",0
568440,"['Violent', 'Gore', 'Action', 'Adventure', 'Casual', 'Indie']",['9TH.ART'],['Forever Entertainment S. A.'],2017-01-13,0.99,201,78.0,72.42,"{'Processor': ' dual core from intel or amd at 2.0 ghz', 'Memory': ' 2 GB RAM', 'Graphics': ' nVidia 320M or higher, or Radeon 7000 or higher, or Intel HD 3000 or higher'}",1
568460,"['Adventure', 'Casual', 'Indie']",['RigidCore Games'],['RigidCore Games'],2017-10-23,6.99,46,91.0,78.34,"{'Processor': ' intel core 2 duo', 'Memory': ' 1 GB RAM', 'Graphics': 'Not specified'}",0
568470,"['Adventure', 'Indie']",['Wisefool Studio'],['Wisefool Studio'],2017-03-16,0.0,30,57.0,54.3,"{'Processor': ' i5 2500k 2,6ghz', 'Memory': ' 4 GB RAM', 'Graphics': ' nvidia gtx 650 2gb or ati 7750 2gb'}",2
568480,"['Action', 'Indie']","[';)', 'Quickdraw Studios']",['Quickdraw Studios'],2017-01-12,11.99,4,75.0,59.6,"{'Processor': ' intel i5-4590 or amd fx 8350', 'Memory': ' 4 GB RAM', 'Graphics': ' GTX 970 or R9 390 (For VR mode)'}",2
568500,"['Casual', 'Indie']",['Teawork Dev'],['Teawork Dev'],2016-12-18,1.99,21,81.0,68.75,"{'Processor': ' 1,8ghz', 'Memory': ' 500 MB RAM', 'Graphics': 'Not specified'}",0
568570,"['Action', 'Adventure', 'Indie', 'RPG', 'Simulation', 'Strategy']",['A.Y.std'],['A.Y.std'],2016-12-13,0.79,3293,75.0,72.94,"{'Processor': 'Not specified', 'Memory': ' 2 GB RAM', 'Graphics': ' 256 Mb Video Memory, Shader Model 3.0'}",0
567630,"['Action', 'Free to Play', 'Massively Multiplayer', 'Strategy']",['YC Games'],['YC Games'],2020-10-20,0.0,2638,82.0,78.58,"{'Processor': ' intel core i5 4-core processor and above', 'Memory': ' 6 GB RAM', 'Graphics': ' NVIDIA Geforce GT 430 or AMD HD5550'}",2
567640,['Adventure'],"['Spike Chunsoft Co., Ltd.']","['Spike Chunsoft Co., Ltd.']",2017-09-25,13.59,9453,86.0,83.71,"{'Processor': ' intel core i3-4170 @ 3.70ghz', 'Memory': ' 4 GB RAM', 'Graphics': ' NVIDIA@ GeForce@ GTX 460 or better'}",1
567660,"['Casual', 'Indie', 'Sports']",['10tons Ltd'],['10tons Ltd'],2017-01-17,1.74,22,64.0,58.33,"{'Processor': ' 1 ghz', 'Memory': ' 256 MB RAM', 'Graphics': 'Not specified'}",0
567670,"['Action', 'Indie']",['Croteam VR'],"['Devolver Digital', 'Croteam Publishing']",2017-11-09,9.24,396,87.0,80.81,"{'Processor': ' intel core i5 - 4590 equivalent', 'Memory': ' 6 GB RAM', 'Graphics': ' AMD R9 290 or NVIDIA GTX 970'}",2
567680,"['Nudity', 'Casual', 'Indie', 'Simulation']",['Mikhail Maksimov'],['Sometimes You'],2017-01-17,0.39,171,43.0,44.24,"{'Processor': ' intel/amd 2.6+ ghz dual core processor', 'Memory': ' 4 GB RAM', 'Graphics': ' NVidia: GTX 295, 480, 570, 660 / ATI: HD 4870 X2, 6970, 7850, R7 265'}",1
567690,"['Adventure', 'Casual', 'Indie', 'RPG']",['vNovel Interactive / Team BG'],['Sometimes You'],2017-10-13,0.0,4,25.0,40.4,"{'Processor': ' 1.00 ghz or faster', 'Memory': ' 1 GB RAM', 'Graphics': 'Not specified'}",0
567750,"['Casual', 'Indie', 'RPG', 'Simulation']",['Raptor Claw Games'],['Raptor Claw Games'],2018-03-29,2.84,242,80.0,74.06,"{'Processor': ' 1.2 ghz', 'Memory': ' 2 GB RAM', 'Graphics': ' DirectX® 9 Compatible Graphics Card'}",0
567780,"['Action', 'Casual', 'Indie']",['Nuno Donato'],['Nuno Donato'],2017-02-02,1.19,34,65.0,59.66,"{'Processor': ' intel i5', 'Memory': ' 4 GB RAM', 'Graphics': ' Intel Integrated Graphics HD3000'}",2
567800,"['Casual', 'Indie', 'Strategy']","['Jetdogs Studios', 'Zoom Out Games']",['Jetdogs Studios'],2016-12-21,1.49,189,89.0,80.87,"{'Processor': ' 1.6 ghz', 'Memory': ' 512 MB RAM', 'Graphics': ' 1024x768 resolution'}",0
567840,"['Casual', 'Indie', 'Early Access']",['Games That Work'],['Games That Work'],2017-02-01,0.99,6,50.0,50.0,"{'Processor': ' intel™ core™ i5-4590 or amd fx™ 8350 or better', 'Memory': ' 4 GB RAM', 'Graphics': ' NVIDIA GeForce™ GTX 970 or AMD Radeon™ R9 290 or better'}",2
567860,"['Casual', 'Indie']",['netmin games'],['netmin games'],2016-12-13,7.19,18,94.0,76.13,"{'Processor': ' pentium 1 ghz', 'Memory': ' 128 MB RAM', 'Graphics': 'Not specified'}",0
567890,"['Action', 'Indie', 'Sports']",['Søren Trautner Madsen'],['Trautner Games'],2017-01-13,1.19,17,76.0,65.38,"{'Processor': ' 2 ghz dual core', 'Memory': ' 2 GB RAM', 'Graphics': ' NVIDIA GeForce GTX 460 or AMD Radeon HD 5770 /w 1GB VRAM'}",1
567980,"['Casual', 'Indie']",['Bekho Team'],['Bekho Team'],2016-12-13,6.99,40,72.0,65.14,"{'Processor': ' intel core 3', 'Memory': ' 4 GB RAM', 'Graphics': ' Integrated graphics card'}",0
568020,"['Casual', 'RPG', 'Simulation']",['Michaela Laws'],['Michaela Laws'],2016-12-28,0.49,62,97.0,83.34,"{'Processor': ' i3+', 'Memory': 'Not specified', 'Graphics': ' DirectX or OpenGL compatible card'}",1
568030,"['Action', 'Adventure']",['Immersion'],['Immersion'],2016-12-15,2.99,18,89.0,72.86,"{'Processor': ' intel i5-4590 equivalent or greater', 'Memory': ' 8 GB RAM', 'Graphics': ' NVIDIA GTX 970 / AMD 290 equivalent or greater'}",3
568040,"['Action', 'Indie']",['Siactro'],['Siactro'],2017-03-17,1.59,168,90.0,81.43,"{'Processor': ' pentium(r) dual-core cpu t4200 2.00ghz', 'Memory': ' 1 GB RAM', 'Graphics': ' ATI Mobility Radeon HD 3450'}",0
567130,"['Indie', 'Strategy']",['Barry McCabe'],['Clockwork Wolf'],2017-02-07,1.54,226,82.0,75.64,"{'Processor': ' intel i3 2.5ghz or equivalent', 'Memory': ' 4 GB RAM', 'Graphics': ' 2GB VRAM'}",1
567150,['Casual'],['Creobit'],['8Floor'],2018-07-27,3.99,64,83.0,73.47,"{'Processor': ' 1500 mhz', 'Memory': ' 512 MB RAM', 'Graphics': 'Not specified'}",0
567160,"['Casual', 'Strategy']","['Creobit', 'Workroom7']",['8Floor'],2018-06-17,0.39,112,89.0,79.82,"{'Processor': ' 1500 mhz', 'Memory': 'Not specified', 'Graphics': 'Not specified'}",0
567200,"['Adventure', 'Indie', 'Simulation', 'Strategy']",['Jippo Media'],['Jippo Media'],2017-04-03,3.99,24,75.0,65.51,"{'Processor': ' 1.8 ghz processor', 'Memory': ' 2 GB RAM', 'Graphics': ' DirectX 9 compatible 3D graphics card'}",0
567210,"['Adventure', 'Casual', 'Indie', 'Strategy']",['Starwind Games'],['Starwind Games'],2016-12-19,1.39,55,89.0,77.45,"{'Processor': ' intel celeron or amd athlon ii x2/a-series', 'Memory': ' 2 MB RAM', 'Graphics': ' Intel Graphics 3000 or later, any NVidia/AMD card'}",0
567240,"['Adventure', 'Casual']",['Big Fish Studios'],['Big Fish Games'],2017-02-14,3.49,22,82.0,69.44,"{'Processor': ' 1.6 ghz', 'Memory': ' 1536 MB RAM', 'Graphics': 'Not specified'}",0
567260,"['Violent', 'Gore', 'Action', 'Indie']",['Rigid-Soft'],['Rigid-Soft'],2017-01-11,8.99,82,20.0,27.57,"{'Processor': ' intel core i3 3ghz', 'Memory': ' 4 GB RAM', 'Graphics': ' GTX 560 or similar'}",1
567280,"['Action', 'Casual', 'Indie']",['EGAMER'],['EGAMER'],2016-12-13,1.09,776,87.0,82.0,"{'Processor': ' 1.5ghz +', 'Memory': ' 1 GB RAM', 'Graphics': ' 256 MB or higher'}",0
567290,"['Action', 'Casual', 'Indie']",['EGAMER'],['EGAMER'],2016-12-17,1.09,1041,90.0,84.73,"{'Processor': ' 1.5ghz +', 'Memory': ' 1 GB RAM', 'Graphics': ' 256 MB or Higher'}",0
567320,"['Action', 'Indie', 'Racing', 'Early Access']",['2xMilk'],['2xMilk'],2017-02-28,7.99,99,47.0,48.11,"{'Processor': ' 2ghz dual core', 'Memory': ' 4 GB RAM', 'Graphics': ' NVIDIA GTX 580 / Radeon HD 6950'}",1
567340,"['Adventure', 'Casual', 'Indie', 'RPG', 'Strategy']",['Orfeas Game Studio'],['Aldorlea Games'],2017-02-17,1.74,48,94.0,80.19,"{'Processor': ' any dual core clocked at 1.8 ghz or better', 'Memory': ' 512 MB RAM', 'Graphics': ' GeForce 9100 or better (DirectX 9.0 Compatible)'}",1
567370,['Action'],['Get Color Games'],['Get Color Games'],2017-01-13,0.82,83,96.0,84.16,"{'Processor': ' intel i5 or higher', 'Memory': ' 4 GB RAM', 'Graphics': ' DX9 (shader model 3.0) or DX11 with feature level 9.3 capabilities'}",2
567480,"['Gore', 'Action', 'Adventure', 'Indie']","['Creature of the Rise co.,ltd.']","['Creature of the Rise co.,ltd.']",2017-01-24,2.39,18,67.0,59.8,"{'Processor': ' cpu 4th generation intel core i5', 'Memory': ' 4 GB RAM', 'Graphics': ' Graphics NVIDIA GeForce 820M VRAM DDR3 2GB'}",2
567580,"['Action', 'Casual', 'Indie']",['EGAMER'],['EGAMER'],2016-12-28,1.09,354,79.0,74.18,"{'Processor': ' intel dual core 2.0 ghz', 'Memory': ' 1 GB RAM', 'Graphics': ' 512 MB or higher'}",1
567620,"['Adventure', 'Indie', 'Early Access']",['Rza Ibrahimov'],['Rza Ibrahimov'],2017-01-02,3.99,2,50.0,50.0,"{'Processor': ' 1.8 ghz', 'Memory': ' 1 GB RAM', 'Graphics': ' 512 mb'}",0
566670,"['Violent', 'Gore', 'Action', 'Adventure', 'Indie']",['Willz'],['Sometimes You'],2017-01-20,0.79,97,92.0,81.25,"{'Processor': ' 1.4ghz or faster', 'Memory': ' 1 GB RAM', 'Graphics': ' Graphics Card made within the last 4 years'}",0
