Game ID,SteamDB score
568060,-1
568070,57.31%
568090,87.13%
568130,59.00%
568160,-1
568180,72.42%
568200,77.30%
568220,90.58%
568240,55.69%
568250,56.05%
568300,62.89%
568310,72.42%
568320,89.70%
568330,61.95%
568370,78.21%
568400,67.24%
568420,-1
568440,72.42%
568460,78.34%
568470,54.30%
568480,59.60%
568490,-1
568500,68.75%
568570,72.94%
567630,78.58%
567640,83.71%
567660,58.33%
567670,80.81%
567680,44.24%
567690,40.40%
567700,-1
567750,74.06%
567780,59.66%
567800,80.87%
567840,50.00%
567860,76.13%
567890,65.38%
567980,65.14%
568020,83.34%
568030,72.86%
568040,81.43%
567130,75.64%
567150,73.47%
567160,79.82%
567200,65.51%
567210,77.45%
567240,69.44%
567260,27.57%
567280,82.00%
567290,84.73%
567320,48.11%
567340,80.19%
567370,84.16%
567430,-1
567480,59.80%
567580,74.18%
567590,-1
567620,50.00%
566640,-1
566670,81.25%
566690,59.60%
566700,85.04%
566730,44.31%
566750,69.44%
566780,69.83%
566800,-1
566810,-1
566860,80.96%
566870,65.86%
566880,76.45%
566900,-1
566910,64.32%
566930,72.42%
566940,69.91%
566970,67.58%
566980,-1
567010,73.53%
567020,37.10%
567030,88.93%
567040,40.82%
567060,72.36%
566130,50.00%
566140,-1
566150,53.27%
566160,89.78%
566170,-1
566180,46.68%
566190,71.29%
566200,62.51%
566250,50.00%
566270,71.70%
566320,68.97%
566350,63.45%
566380,69.77%
566410,40.90%
566420,58.33%
566430,57.73%
566490,84.92%
566530,73.21%
566540,74.88%
566550,45.29%
566560,34.62%
566570,48.96%
566580,54.17%
565860,71.77%
565910,60.28%
565980,65.93%
566050,88.77%
566090,65.07%
565380,65.14%
565390,81.29%
565490,-1
565540,58.97%
565550,66.43%
565600,75.77%
565630,-1
565640,44.87%
565650,62.10%
565660,58.04%
565670,63.21%
565690,79.58%
565720,77.37%
565730,57.96%
565760,-1
564990,60.28%
565020,39.07%
565030,74.06%
565080,-1
565100,-1
565110,68.70%
565120,79.29%
565140,-1
565180,82.31%
565190,-1
565200,66.94%
565330,44.31%
564700,73.20%
564710,91.02%
564720,58.97%
564750,61.21%
564810,80.72%
564900,40.42%
564920,44.31%
564940,74.37%
564950,47.03%
564960,52.37%
564980,44.86%
564420,67.93%
564450,-1
564470,73.16%
564480,-1
564530,84.25%
564010,36.52%
564040,73.27%
564050,88.01%
564080,71.63%
564090,-1
564100,45.83%
564140,-1
564150,74.07%
564210,67.25%
564230,83.73%
564280,61.96%
564310,89.46%
564330,85.37%
564340,54.17%
563500,36.12%
563520,68.51%
563530,-1
563550,75.43%
563560,92.03%
563600,-1
563610,59.60%
563680,38.03%
563690,-1
563710,74.20%
563730,-1
563740,44.86%
563750,57.22%
563760,63.21%
563810,78.20%
563830,69.36%
563860,66.33%
563910,53.98%
563120,54.28%
563130,66.94%
563150,69.76%
563160,-1
563170,68.97%
563180,81.69%
563190,79.22%
563200,72.84%
563250,55.55%
563260,76.60%
563270,58.95%
563320,50.55%
563340,52.88%
563360,59.65%
563370,59.60%
563380,59.97%
563390,69.91%
563400,70.11%
563410,71.55%
563420,53.75%
563430,85.29%
563470,57.54%
563490,53.52%
562570,76.38%
562590,66.45%
562600,55.55%
562640,63.09%
562660,73.25%
562680,59.97%
562690,38.07%
562700,48.70%
562740,63.89%
562750,-1
562800,40.99%
562840,46.93%
562340,42.91%
562350,75.70%
562410,86.15%
562420,60.24%
562430,57.78%
562450,37.02%
562460,79.04%
562470,62.36%
562480,84.72%
562490,76.11%
562500,79.06%
562510,57.18%
562520,48.70%
562540,50.88%
562560,-1
561930,78.13%
561970,60.61%
562010,63.99%
562040,-1
562050,68.01%
